objective value:                     4487.51582646449
t#397                              -0.979693185606398 	(obj:0)
t#398                              -0.958784808756022 	(obj:0)
t#399                              -0.852570562458462 	(obj:0)
t#400                              -0.975820924537122 	(obj:0)
t#401                              -0.997000147536324 	(obj:0)
t#402                              -0.983344660791295 	(obj:0)
t#403                              -0.988048800335263 	(obj:0)
t#404                              -0.984355869982218 	(obj:0)
t#405                              -0.964459627360004 	(obj:0)
t#406                              -0.796497039317043 	(obj:0)
t#407                              -0.982457817104819 	(obj:0)
t#408                              -0.547750895304056 	(obj:0)
t#409                              -0.947927728618505 	(obj:0)
t#410                              -0.975765034288098 	(obj:0)
t#411                              -0.496429248128124 	(obj:0)
t#412                              -0.781111170441691 	(obj:0)
t#413                              -0.917764308346392 	(obj:0)
t#414                              -0.921276057908727 	(obj:0)
t#415                              -0.826085917219654 	(obj:0)
t#416                              -0.975155791772265 	(obj:0)
t#417                              -0.898425397901084 	(obj:0)
t#418                              -0.844534283829527 	(obj:0)
t#419                              -0.845975404820052 	(obj:0)
t#420                              -0.357406690378278 	(obj:0)
t#421                              -0.935756668106629 	(obj:0)
t#422                              -0.917908938916291 	(obj:0)
t#423                              -0.934530503015906 	(obj:0)
t#424                              -0.990598475933883 	(obj:0)
t#425                              -0.543875579361919 	(obj:0)
t#426                              -0.917908938916291 	(obj:0)
t#427                              -0.989995988439868 	(obj:0)
t#428                               -0.99352217308308 	(obj:0)
t#429                              -0.939565358867823 	(obj:0)
t#430                               -0.97979728604539 	(obj:0)
t#431                              -0.962525024261795 	(obj:0)
t#432                              -0.996113303849848 	(obj:0)
t#433                              -0.962525024261795 	(obj:0)
t#434                              -0.939372518107955 	(obj:0)
t#435                              -0.996923992221845 	(obj:0)
t#436                              -0.918399645912257 	(obj:0)
t#437                              -0.948115664431033 	(obj:0)
t#438                              -0.949603145537044 	(obj:0)
t#439                              -0.991852586149118 	(obj:0)
t#440                              -0.986954680808044 	(obj:0)
t#441                              -0.983705172298237 	(obj:0)
t#442                              -0.995891592928229 	(obj:0)
t#443                              -0.109891422396034 	(obj:0)
t#444                              -0.990259154529636 	(obj:0)
t#445                               -0.97364527048908 	(obj:0)
t#446                              -0.937487975274193 	(obj:0)
t#447                              -0.826461788844712 	(obj:0)
t#448                              -0.917908938916291 	(obj:0)
t#449                              -0.935991889071884 	(obj:0)
t#450                              -0.935991889071884 	(obj:0)
t#451                              -0.881628203234199 	(obj:0)
t#452                              -0.982679528026438 	(obj:0)
t#453                              -0.984896637242629 	(obj:0)
t#454                              -0.999258711920664 	(obj:0)
t#455                              -0.977801887750818 	(obj:0)
t#456                              -0.956948476112226 	(obj:0)
t#457                              -0.983677227173724 	(obj:0)
t#458                              -0.978737866664501 	(obj:0)
t#459                              -0.906899548149816 	(obj:0)
t#460                              -0.909712389838204 	(obj:0)
t#461                              -0.979188043529557 	(obj:0)
t#462                              -0.892237477400066 	(obj:0)
t#463                              -0.993930894779987 	(obj:0)
t#464                              -0.983705172298237 	(obj:0)
t#465                              -0.987744179077347 	(obj:0)
t#466                              -0.787092460378069 	(obj:0)
t#467                              -0.950471574232546 	(obj:0)
t#468                               -0.81667180814714 	(obj:0)
t#469                              -0.992774129981925 	(obj:0)
t#470                              -0.995739282299271 	(obj:0)
t#471                              -0.995739282299271 	(obj:0)
t#472                              -0.992774129981925 	(obj:0)
t#473                               -0.97277286188348 	(obj:0)
t#474                              -0.980844120419883 	(obj:0)
t#475                              -0.972723726656273 	(obj:0)
t#476                              -0.979292143968549 	(obj:0)
t#477                              -0.991624120205681 	(obj:0)
t#478                              -0.979292143968549 	(obj:0)
t#479                              -0.882495061616358 	(obj:0)
t#480                              -0.992011651799895 	(obj:0)
t#481                              -0.943251534199049 	(obj:0)
t#482                              -0.999258711920664 	(obj:0)
t#483                              -0.948460815819858 	(obj:0)
t#484                              -0.909620874405608 	(obj:0)
t#485                              -0.581701622227357 	(obj:0)
t#486                              -0.991402409284062 	(obj:0)
t#487                              -0.585027286051641 	(obj:0)
t#488                              -0.912368015950295 	(obj:0)
t#489                              -0.496429248128124 	(obj:0)
t#490                              -0.959871248224183 	(obj:0)
t#491                              -0.992337463160505 	(obj:0)
t#492                              -0.643442843435974 	(obj:0)
t#493                              -0.585027286051641 	(obj:0)
t#494                              -0.910044956220632 	(obj:0)
t#495                              -0.886328642629207 	(obj:0)
t#496                              -0.984405005209424 	(obj:0)
t#497                              -0.991402409284062 	(obj:0)
t#498                              -0.986683834659218 	(obj:0)
t#499                              -0.792947814496657 	(obj:0)
t#500                              -0.423136578340417 	(obj:0)
t#501                              -0.988028535269809 	(obj:0)
t#502                              -0.977920423270686 	(obj:0)
t#503                              -0.957808299711431 	(obj:0)
t#504                              -0.496096681745696 	(obj:0)
t#505                              -0.909443393763857 	(obj:0)
t#506                              -0.971490806543732 	(obj:0)
t#507                              -0.937896696971101 	(obj:0)
t#508                                -0.8202480530548 	(obj:0)
t#509                                -0.9378263716412 	(obj:0)
t#510                              -0.983816027759046 	(obj:0)
t#511                              -0.710183015551796 	(obj:0)
t#512                              -0.969883864880613 	(obj:0)
t#513                              -0.954303305170914 	(obj:0)
t#514                             -0.0466691095882625 	(obj:0)
t#515                               -0.83175277600344 	(obj:0)
t#516                                -0.9895178664503 	(obj:0)
t#517                              -0.817058414704115 	(obj:0)
t#518                              -0.984405005209424 	(obj:0)
t#519                              -0.964355526921012 	(obj:0)
t#520                              -0.978453510472039 	(obj:0)
t#521                              -0.986781180076392 	(obj:0)
t#522                              -0.986670324615582 	(obj:0)
t#523                               -0.95933816102283 	(obj:0)
t#524                              -0.685678774004409 	(obj:0)
t#525                              -0.904841504584401 	(obj:0)
t#526                              -0.953638172406057 	(obj:0)
t#527                              -0.921276057908727 	(obj:0)
t#528                               -0.96975181931711 	(obj:0)
t#529                              -0.921276057908727 	(obj:0)
t#530                              -0.686875423657279 	(obj:0)
t#531                              -0.917104080528873 	(obj:0)
t#532                              -0.970514297499141 	(obj:0)
t#533                              -0.970736008420759 	(obj:0)
t#534                              -0.965870953151535 	(obj:0)
t#535                              -0.981757984193631 	(obj:0)
t#536                              -0.985555014985668 	(obj:0)
t#537                              -0.984294149748615 	(obj:0)
t#538                              -0.942696331857762 	(obj:0)
t#539                              -0.983033284511561 	(obj:0)
t#540                              -0.995150304848892 	(obj:0)
t#541                              -0.733761819110104 	(obj:0)
t#542                              -0.980836440360824 	(obj:0)
t#543                              -0.958257551539248 	(obj:0)
t#544                              -0.992822340171892 	(obj:0)
t#545                              -0.982312261497679 	(obj:0)
t#546                              -0.999258711920664 	(obj:0)
t#547                               -0.96975181931711 	(obj:0)
t#548                              -0.991437109430392 	(obj:0)
t#549                              -0.935401986584266 	(obj:0)
t#550                              -0.990342064865933 	(obj:0)
t#551                              -0.981203706889584 	(obj:0)
t#552                              -0.884369794555446 	(obj:0)
t#553                              -0.997485024547711 	(obj:0)
t#554                              -0.992815585150074 	(obj:0)
t#555                               -0.31644208021767 	(obj:0)
t#556                              -0.932789665714804 	(obj:0)
t#557                              -0.911624877796478 	(obj:0)
t#558                              -0.934543088022302 	(obj:0)
t#559                              -0.815392527919114 	(obj:0)
t#560                              -0.964998544545935 	(obj:0)
t#561                               -0.87263447582775 	(obj:0)
t#562                              -0.979485909765656 	(obj:0)
t#563                              -0.973610570342749 	(obj:0)
t#564                              -0.973652025510898 	(obj:0)
t#565                               -0.97007763067772 	(obj:0)
t#566                               -0.97007763067772 	(obj:0)
t#567                              -0.988367856674055 	(obj:0)
t#568                              -0.985333304064049 	(obj:0)
